Name, Birth-Death, Creation
Cimabue, 1240-1302, Santa Trinita Maestà(1280-1285)
Giotto di Bondone, 1267-1337.1.8, The Mourning of Christ; Ognissanti Madonna(1310); The Nativity in the Lower Church
Donatello, 1386-1466.12.13, David at the Bargello; Saint George; Equestrian Monument of Gattamelata
Jan van Eyck, 1390-1441.7.9, Ghent Altarpiece(1432); The Arnolfini Portrait(1434); Annunciation(1434-1436)
Fra Angelico, 1395-1455.2.18, Annunciation(1440-1445); San Marco Altarpiece; Deposition of Christ 
Paolo Uccello, 1397-1475.12.10, Funerary Monument to Sir John Hawkwood; Saint George and the Dragon; The Battle of San Romano(1450)
Masaccio, 1401.12.21-1428, The Expulsion(1426-1427); Virgin Mary with pseudo-Arabic halo(1426); Holy Trinity(1427)
Benozzo Gozzoli, 1421-1497, Journey of the Magi(1459-1461)
Giovanni Bellini  , 1430-1516.11.26, 
Andrea del Verrocchio, 1435-1488, Tobias and the Angel; Christ and St. Thomas; Equestrian statue of Bartolomeo Colleoni
Sandro Botticelli, 1445-1510.5.17, Primavera(1482); The Birth of Venus(1484–1486); The Adoration of the Magi
Leonardo da Vinci, 1452.4-1519.5.2, Saint John the Baptist(1507-1516); Lady with an Ermine(1489-1491); The Last Supper(1492-1498); Mona Lisa(1503–1516)
Albrecht Dürer, 1471.5.21-1528.4.6, Dürer's self-portrait at 28(1500); Great Piece of Turf(1503); Adam and Eve(1507)
Michelangelo, 1475.3.6-1564.2.18, The Statue of David(1504); Sistine Chapel ceiling(1505-1512); Florence under Medici popes(1513-1534); The Last Judgement (1534–1541)
Giorgione, 1477-1510, The Tempest(1508); Pastoral Concert(1509); Sleeping Venus(1510)
Raphael, 1483-1520.4.6, Raphael Rooms; The School of Athens; Sistine Madonna; Transfiguration; The Triumph of Galatea
Tiziano Vecelli, 1488-1576.8.27, A Man with a Quilted Sleeve(1509)
Hans Holbein, 1497-1543.11.29, The Ambassadors(1533); Portrait of Jane Seymour(1537); Holbein's portrait of Anne of Cleves; Jane Small(1540)
Parmigianino, 1503.1.11-1540.8.24, 
Tintoretto, 1518.10-1594.5.31, Finding of the body of St Mark(1564)
Pieter Bruegel, 1525-1569.9.9, The Big Fish Eat the Little Fish(1556); The Blind Leading the Blind(1568)
El Greco, 1541.10.1-1614.4.7, The Burial of the Count of Orgaz(1586-1588)
Caravaggio, 1571.9.29-1610.7.18, The Calling of Saint Matthew(1599-1600)
Peter Paul Rubens, 1577.6.28-1640.5.30, The Rape of the Daughters of Leucippus(1617)
Frans Hals, 1582-1666.8.26, 
Nicolas Poussin, 1594.6-1665.11.19, Et in Arcadia ego(1630s)
Gian Lorenzo Bernini, 1598.12.7-1680.11.28, Ecstasy of Saint Teresa(1651)
Anthony van Dyck, 1599.3.22-1641.12.9, 
Diego Velázquez, 1599.6.6-1660.8.6, El Triunfo de Baco(1629); Rokeby Venus(1647-1651); Portrait of Pope Innocent X(1650); Las Meninas(1656)
Rembrandt, 1606.7.15-1669.10.4, Anatomy Lesson of Dr. Nicolaes Tulp(1632); The Night Watch(1642)
Johannes Vermeer, 1632.10-1675.12, The Milkmaid(1658); Girl with a Pearl Earring (1665)
Antoine Watteau, 1684.10.10-1721.7.18, The Embarkation for Cythera(1717)
Jean-Baptiste-Siméon Chardin, 1699.11.2-1779.12.6, 
François Boucher, 1703.9.29-1770.5.30, Diana Leaving the Bath(1742); Madame de Pompadour; Portrait of Marie-Louise O'Murphy(1752)
Jean-Baptiste Greuze, 1725.8.21-1805.3.4, The Broken Vessel
Francisco Goya, 1746.3.30-1828.4.16, La Maja Desnuda(1790–1800)
Jacques-Louis David, 1748.8.30-1825.12.29, Death of Marat(1793); Napoleon Crossing the Alps(1801); The Coronation of Napoleon(1807)
J. M. W. Turner, 1775.4.23-1851.12.19, Snow Storm Steam-Boat off a Harbour's Mouth(1842)
John Constable, 1776.6.11-1837.3.31, The Hay Wain(1821)
Jean-Auguste-Dominique Ingres, 1780.8.29-1867.1.14, Napoleon I on His Imperial Throne(1806); The Grande Baigneuse(1808); La Grande Odalisque(1814); The Source(1856)
Théodore Géricault, 1791.9.26-1824.1.26, The Charging Chasseur(1812); The Raft of the Medusa(1819)
Jean-Baptiste-Camille Corot, 1796.7.16-1875.2.22, 
Eugène Delacroix, 1798.4.26-1863.8.13, Massacre at Chios (1824); The Death of Sardanapalus(1827); Woman with a Parrot(1827); Liberty Leading the People(1830); Medea about to Kill Her Children(1838)
Jean-François Millet, 1814.10.4-1875.1.20, The Sower(1850); The Gleaners(1857); The Angelus(1857-1859)
Gustave Courbet, 1819.6.10-1877.12.31, 
Édouard Manet, 1832.1.23-1883.4.30, The Luncheon on the Grass(1863); Olympia(1863)
Edgar Degas, 1834.7.19-1917.9.27, Portrait of a young woman(1867)
Paul Cézanne, 1839.11.19-1906.10.22, Mont Sainte-Victoire; The Basket of Apples
Claude Monet, 1840.11.14-1926.12.5, Springtime(1872); Rouen Cathedral at sunset(1893); Water Lilies; Grainstacks
Ilya Repin, 1844-1930.9.29, Barge Haulers on the Volga(1870-1873); Ivan the Terrible and His Son Ivan(1885)
Paul Gauguin, 1848.6.7-1903.5.8, 
Vincent van Gogh, 1853.3.30-1890.7.29, Starry Night Over the Rhone(1888.9); The Starry Night(1889.6); Almond Blossom(1890); Wheatfield with Crows(1890)
Edvard Munch, 1863.12.12-1944.1.23, The Scream(1893)
Wassily Kandinsky, 1866.12.16-1944.12.13, Composition VIII(1923)
Henri Matisse, 1869.12.31-1954.11.3, Woman with a Hat(1905); La Danse(1910)
Piet Mondrian, 1872.3.7-1944.2.1, Tableau I(1921); Composition II in Red; Blue; and Yellow(1930)
Pablo Picasso, 1881.10.25-1973.4.8, La Vie(1903); The Old Guitarist(1903); Garçon à la pipe(1905); Les Demoiselles d'Avignon(1907); Guernica(1937)
Salvador Dalí, 1904.5.11-1989.1.23, The Persistence of Memory(1931); Soft Construction with Boiled Beans(1936)
Jackson Pollock, 1912.1.28-1956.8.11, 